YearMoDa	Min	Max	Avg
20240602	16.9	24.9	20.8
20240603	15	26.7	20.8
20240604	15.4	25.1	20.2
20240605	12.4	24	18.6
20240606	13.1	20.4	16.1
20240607	9.1	19.5	14.6
20240608	8.6	18.3	13.9
20240609	11.2	16.1	13.1
20240610	7.7	18.1	12.8
20240611	10.2	19.3	14.1
20240612	10.8	18.5	14.4
20240613	11.2	18.5	14.6
20240614	11.2	19	14.8
20240615	8.9	19.6	15.1
20240616	13.8	22.7	17.6
20240617	15.2	23.5	18.6
20240618	15.2	22.6	17.8
20240619	12.6	18.3	15.6
20240620	13	21.8	16.3
20240621	10.9	22.7	17.4
20240622	10.6	22	17.5
20240623	11.4	24.1	18.9
20240624	16.3	24.5	19.6
20240625	12.2	26.2	20.5
20240626	15.8	26.4	21.3
20240627	15	28	22.3
20240628	16.7	28	23.3
20240629	17.5	24.7	20.4
20240630	14	23.7	18.8
20240701	16.8	22.1	18.7
20240702	13.9	24	18.5
20240703	13	18.6	14.8
20240704	13.1	21.4	17.3
20240705	13.6	20.8	16.7
20240706	11	19.9	14.9
20240707	15.2	20.3	16.9
20240708	13.6	22.2	17.7
20240709	12.8	23.4	18
20240710	12.3	23	18.7
20240711	16.8	22.7	19.3
20240712	17.1	24	19.1
20240713	16	25.8	21.1
20240714	16.9	21.8	19.4
20240715	14.8	22.9	18.8
20240716	14.9	25.1	20.5
20240717	18.1	24.8	20.6
20240718	16.8	23.3	18.9
20240719	15.9	21.9	17.9
20240720	15.9	24.1	18.4
20240721	16.5	23.6	19.3
20240722	16.7	25.3	21.7
20240723	19	25.6	22.1
20240724	20	25.2	22.2
20240725	18.1	26.8	22.2
20240726	17.3	27.1	22.7
20240727	16.6	25.7	21.4
20240728	18.3	25	21.1
20240729	18.4	25.6	21.5
20240730	17.4	24.4	20
20240731	14.4	24.7	17.8
20240801	13.5	22.6	17.5
20240802	14.6	23.2	17.3
20240803	14.8	23.9	17.8
20240804	15.1	22.8	17.8
20240805	14.7	21.5	18
20240806	16.5	23.6	19.1
20240807	12.9	22.9	18.1
20240808	14.1	24.7	19.9
20240809	16.6	24.7	21.4
20240810	16.5	22.3	18.5
20240811	13.7	22.4	16.6
20240812	12.4	18.4	14.5
20240813	11.8	24.7	18.5
20240814	13.6	24.4	19.6
20240815	14.1	24.6	19.9
20240816	18.2	21.4	19.6
20240817	17.4	23.2	19.2
20240818	12.4	22.1	17.2
20240819	14.9	23	18.1
20240820	10.1	21.5	16.8
20240821	15.6	23	19.6
20240822	17.9	22.9	19.4
20240823	12.5	21.4	17
20240824	15.9	19.9	17.3
20240825	14.2	26.5	19.7
20240826	14.2	20.5	17
20240827	15.3	21.5	17.6
20240828	14.1	22	17.5
20240829	14.2	22.5	18.3
20240830	15.9	25.1	21.4
20240831	13.7	23.7	16.1
